Keely29,The Alkaline Solution,4,2,0,2 Fluor 2   ,1 Lithium 2 Oxygen 1 ,1 Oxygen 1   ,          ,          ,,Oxygen,Oxygen,False,False,False,19-12-2023 11:53:06,
Aubrey1114,The Molecular Atom,4,4,0,3 Fluor 3   ,          ,1 Natrium 1 Klor 1 ,1 Magnesium 1 Oxygen 1 ,1 Klor 1   ,,Fosfor,Nitrogen,False,False,False,18-12-2023 23:58:41,
SuuSperia 633,The Alkaline Reaction,4,2,0,1 Fluor 1   ,1 Oxygen 1   ,          ,          ,          ,,Fluor,Lithium,False,False,False,18-12-2023 19:47:15,
Predator 1801,The Insoluble Electrolyte,4,2,0,3 Oxygen 3   ,1 Lithium 1 Fluor 1 ,1 Fluor 1   ,          ,          ,,Nitrogen,,False,False,False,15-12-2023 22:00:25,
a_test_5,The Aqueous Isotope,4,2,0,          ,          ,          ,3 Lithium 3   ,1 Oxygen 1   ,,,,False,False,False,12/6/2023 1:13:35 PM,
a_test_3,The Molecular Solution,4,2,0,          ,          ,          ,          ,          ,,,,False,False,False,12/6/2023 10:19:52 AM,
a_test_2,The Organic Bond,4,2,0,1 Oxygen 1   ,1 Fluor 1   ,1 Oxygen 1   ,1 Oxygen 1   ,1 Fluor 1   ,Lithium,,,False,False,False,12/6/2023 9:43:32 AM,
a_test_1,The Volatile Ion,4,2,0,1 Oxygen 1   ,1 Lithium 1   ,2 Fluor 2   ,2 Nitrogen 2   ,          ,Nitrogen,Oxygen,Oxygen,False,False,False,12/6/2023 9:16:35 AM,
c_test_5,The Flammable Catalyst,4,3,0,1 Oxygen 1   ,1 Oxygen 1   ,1 Nitrogen 1   ,1 Svovl 1   ,1 Fluor 1   ,Lithium,,,False,False,False,06-12-2023 13:15:05,
c_test_5,The Flammable Catalyst,4,2,0,1 Oxygen 1   ,1 Oxygen 1   ,1 Nitrogen 1   ,1 Lithium 1   ,1 Fluor 1   ,,,,False,False,False,06-12-2023 13:14:28,
c_test_5,The Crystalline Bond,4,2,0,1 Nitrogen 1   ,1 Fluor 1   ,1 Oxygen 1   ,1 Nitrogen 1   ,1 Fluor 1   ,,,,False,False,False,06-12-2023 13:11:08,
c_test_5,The Soluble Thermodynamics,4,2,0,          ,          ,1 Fluor 1   ,1 Fluor 1   ,1 Fluor 1   ,,,,False,False,False,06-12-2023 13:07:48,
c_test_3,The Endothermic Element,4,2,0,1 Fluor 1   ,1 Fluor 1   ,          ,1 Oxygen 1   ,1 Oxygen 1   ,,,Lithium,False,False,False,06-12-2023 10:19:58,
c_test_3,The Alkaline Element,4,2,0,          ,          ,1 Nitrogen 1   ,1 Lithium 1   ,1 Oxygen 1   ,Oxygen,Lithium,Lithium,False,False,False,06-12-2023 10:16:23,
c_test_2,The Reactive Polymer,4,2,0,1 Nitrogen 1   ,1 Fluor 1   ,1 Nitrogen 1   ,1 Oxygen 1   ,          ,Nitrogen,Lithium,Fluor,False,False,False,06-12-2023 09:45:28,
c_test_2,The Insoluble Ion,4,2,0,1 Fluor 1   ,1 Fluor 1   ,1 Fluor 1   ,1 Nitrogen 1   ,1 Nitrogen 1   ,Lithium,,,False,False,False,06-12-2023 09:40:18,
c_test_1,The Redox Compound,4,3,0,1 Magnesium 1 Oxygen 1 ,1 Svovl 1   ,1 Nitrogen 1   ,3 Lithium 3   ,1 Lithium 1 Fluor 1 ,,,,False,False,False,06-12-2023 09:16:14,
c_test_1,The Redox Compound,4,2,0,          ,3 Lithium 3   ,1 Oxygen 1   ,1 Lithium 1 Fluor 1 ,          ,,,,False,False,False,06-12-2023 09:14:59,
Bloody Winter ,The Crystalline Polymer,4,4,0,3 Fluor 3   ,3 Oxygen 3   ,1 Natrium 1 Klor 1 ,1 Magnesium 1 Oxygen 1 ,1 Svovl 1   ,Svovl,Natrium,Fosfor,False,False,False,12/5/2023 10:24:13 PM,
Anne,The Alkaline pH,4,2,0,3 Oxygen 3   ,1 Fluor 1   ,1 Nitrogen 1   ,1 Lithium 1   ,          ,Lithium,,Fluor,False,False,False,12/4/2023 5:22:09 PM,
Memphis318,The Redox Chemical,4,2,0,          ,          ,          ,          ,          ,Nitrogen,Oxygen,Oxygen,False,False,False,04-12-2023 17:05:40,
Bot Maker,The Endothermic Compound,4,2,0,          ,          ,          ,          ,          ,Oxygen,Oxygen,Oxygen,False,False,False,04-12-2023 17:04:23,
Glenn,The Inorganic Acid,4,2,0,1 Lithium 2 Oxygen 1 ,1 Lithium 1 Fluor 1 ,          ,1 Oxygen 1   ,1 Oxygen 1   ,Lithium,,Oxygen,False,False,False,04-12-2023 16:56:06,
Cornerstone529,The Aqueous Element,4,2,0,          ,          ,1 Lithium 2 Oxygen 1 ,2 Fluor 2   ,1 Oxygen 1   ,Lithium,Lithium,,False,False,False,04-12-2023 12:31:13,
Abraham617,The Molecular Electrolyte,4,2,0,1 Lithium 3 Nitrogen 1 ,2 Nitrogen 2   ,          ,          ,          ,,,Lithium,False,False,False,01-12-2023 16:34:34,
pilot_test_31,The Alkaline pH,4,3,0,          ,1 Fluor 1   ,2 Nitrogen 2   ,3 Oxygen 3   ,3 Lithium 3   ,Lithium,Oxygen,,False,False,False,12/1/2023 3:11:21 PM,
pilot_test_31,The Alkaline pH,4,2,0,          ,          ,1 Nitrogen 1   ,2 Oxygen 2   ,3 Lithium 3   ,Oxygen,Nitrogen,Fluor,False,False,False,12/1/2023 3:10:50 PM,
pilot_test_31,The Chemical Isotope,4,2,0,          ,3 Oxygen 3   ,1 Lithium 1   ,3 Fluor 3   ,1 Fluor 1   ,Lithium,Lithium,,False,False,False,12/1/2023 3:02:57 PM,
pilot_test_30,The Insoluble Isotope,4,3,0,3 Oxygen 3   ,1 Lithium 1 Fluor 1 ,1 Klor 1   ,1 Magnesium 1   ,          ,,,,False,False,False,12/1/2023 2:49:41 PM,
pilot_test_30,The Toxic Solution,4,2,0,1 Lithium 1   ,3 Oxygen 3   ,1 Nitrogen 1   ,          ,          ,Lithium,Nitrogen,Oxygen,False,False,False,12/1/2023 2:45:09 PM,
pilot_test_30,The Aqueous Molecule,4,2,0,          ,          ,          ,1 Lithium 1 Fluor 1 ,1 Lithium 2 Oxygen 1 ,Oxygen,Nitrogen,Lithium,False,False,False,12/1/2023 2:39:54 PM,
