symbol,chemicalName,ionName,atomicWeight,numberOfProtons,numberOfNeutrons,numberOfElectrons,numberOfShells,charge,tier,meltingPoin,boilingPoint,stateAtRoomTemperature,hexColorCode
H,Hydrogen,Hydrogen,1.008,1,0,1,1,1,1,-259.16,-252.87,Gas,FFFFFF
He,Helium,Helium,4.0026,2,2,2,1,0,1,-272.20,-268.93,Gas,FFFFFF
Li,Lithium,Lithium,6.94,3,4,3,2,1,1,180.54,1342.0,Solid,fff3dc
Be,Beryllium,Beryllium,9.0122,4,5,4,2,2,1,1287.0,2470.0,Solid,FFFFFF
B,Boron,Boron,10.81,5,6,5,2,3,1,2076.0,3927.0,Solid,FFFFFF
C,Carbon,Carbon,12.01,6,6,6,2,0,1,3915.0,3915.0,Solid,FFFFFF
N,Nitrogen,nitrid,14.01,7,7,7,2,-3,1,-210.01,-195.79,Gas,FFFFFF
O,Oxygen,oxid,16.00,8,8,8,2,-2,1,-218.79,-182.96,Gas,8A97E3
F,Fluor,fluorid,19.00,9,10,9,2,-1,1,-219.62,-188.12,Gas,FFFDB9
Ne,Neon,Neon,20.18,10,10,10,2,0,1,-248.59,-246.08,Gas,FFFFFF
Na,Natrium,Natrium,22.99,11,12,11,3,1,2,97.81,882.94,Solid,b1b19e
Mg,Magnesium,Magnesium,24.31,12,12,12,3,2,2,650.0,1090.0,Solid,c7c7c7
Al,Aluminium,Aluminium,26.98,13,14,13,3,3,2,660.32,2519.0,Solid,8f8f8f
Si,Silicon,Silicon,28.09,14,14,14,3,0,2,1414.0,3265.0,Solid,FFFFFF
P,Fosfor,fosfid,30.97,15,16,15,3,-3,2,44.15,280.5,Solid,CE5E4F
S,Svovl,sulfid,32.07,16,16,16,3,-2,2,115.21,444.67,Solid,FFF610
Cl,Klor,klorid,35.45,17,18,17,3,-1,2,-101.5,-34.04,Gas,ABCA43
Ar,Argon,Argon,39.95,18,22,18,3,0,2,-189.34,-185.85,Gas,FFFFFF
K,Kalium,Kalium,39.10,19,20,19,4,1,3,63.38,759.85,Solid,7c7c7c
Ca,Calcium,Calcium,40.08,20,20,20,4,2,3,842.0,1484.0,Solid,bebebe
Sc,Scandium,Scandium,44.9559,21,24,21,3,2,3,1541,2836,solid,FFFFFF
Ti,Titan,Titan,47.867,22,26,22,4,2,3,1668,3287,solid,FFFFFF
V,Vanadium,Vanadium,50.9415,23,28,23,4,2,3,1910,3407,solid,FFFFFF
Cr,Krom,Krom,51.9961,24,28,24,4,2,3,1907,2671,solid,FFFFFF
Mn,Mangan,Mangan,54.938,25,30,25,4,2,3,1246,2061,solid,FFFFFF
Fe,Jern,Jern,55.845,26,30,26,4,2,3,1538,2862,solid,FFFFFF
Co,Kobolt,Kobolt,58.9332,27,32,27,4,2,3,1495,2927,solid,FFFFFF
Ni,Nikkel,Nikkel,58.6934,28,31,28,4,2,3,1455,2732,solid,FFFFFF
Cu,Kobber,Kobber,63.55,29,35,29,4,1,3,1984.0,2927.0,Solid,FFFFFF
Zn,Zink,Zink,65.38,30,35,30,4,2,3,419.0,907.0,Solid,d5d5d5
Ga,Gallium,Gallium,69.723,31,39,31,4,3,3,29.76,2204,solid,FFFFFF
Ge,Germanium,Germanium,72.630,32,41,32,4,0,3,938.25,2830,solid,FFFFFF
As,Arsen,arsenid,74.9216,33,42,33,4,-3,3,817,614,solid,FFFFFF
